gbifID,countryCode,locality,individualCount,decimalLatitude,decimalLongitude,depth,day,month,year
911440563,ID,Jemeluk Left,,-8.33752,115.66,8.85,16.0,5.0,2014.0
911440546,VU,Coral Gardens,,-17.5689,168.223,6.5,24.0,4.0,2014.0
911440542,VE,Isla El Mono,,10.4672,-64.5178,18.5,26.0,4.0,2014.0
911440468,GD,Whibbles,,12.0185,-61.804,12.3,27.0,4.0,2014.0
911440467,GD,Purple Rain,,12.017,-61.7977,8.8,24.0,4.0,2014.0
911440455,GD,Purple Rain,,12.017,-61.7977,8.8,24.0,4.0,2014.0
911440409,ID,Coral Garden 1,,-6.05862,106.573,8.45,26.0,4.0,2014.0
911440383,TH,Koh Haa 1 (Neung),,7.43321,98.8969,9.5,29.0,4.0,2014.0
911440332,EG,Ras Ghozlani,,27.7921,34.2625,9.65,23.0,7.0,2010.0
911440307,EG,Jackfish Alley,,27.7667,34.2567,11.65,23.0,7.0,2010.0
911440282,DO,,,19.6332,-69.8873,7.15,7.0,12.0,2009.0
911440280,EG,Shark & Yolanda Reef,,27.7217,34.25,14.6,23.0,7.0,2010.0
911440255,EG,Temple,,27.8473,34.3088,9.3,22.0,7.0,2010.0
911440252,PH,Friday's Rock,,11.9686,121.905,8.37,20.0,8.0,2004.0
911440233,TH,Koh Haa Lagoon,,7.42953,98.8956,10.0,29.0,4.0,2014.0
911440226,EG,Ras Katy,,31.1978,29.9012,11.35,22.0,7.0,2010.0
911440223,GD,Kahonee,,12.0186,-61.7907,8.84,17.0,5.0,2014.0
899970525,MX,,,21.606356,-87.109664,,23.0,7.0,2011.0
896186119,EG,Sha'ab Sheer Coral Paradise,,26.6555,34.041,11.0,17.0,4.0,2014.0
896186048,AU,Bundegi Beach Bills Way,,-21.818,114.189,3.9,12.0,8.0,1989.0
896186008,MY,Barracuda Point,,4.1209,118.629,12.5,6.0,7.0,2011.0
896185998,EG,Pinky Wall,,27.871,34.3232,8.35,16.0,4.0,2001.0
896185997,EG,The Temple,,27.874,34.3344,9.65,16.0,4.0,2001.0
896185996,EG,The Tower,,27.9031,34.3312,9.1,15.0,4.0,2001.0
896185932,MY,Paradise 2,,4.24895,118.629,6.5,4.0,7.0,2011.0
896185799,TH,Richelieu Rock,,9.33932,98.0983,12.8,4.0,2.0,2013.0
896185634,KY,Great Wall East,,19.6831,-80.0845,32.5,17.0,3.0,2014.0
896185615,KY,Coconut Wall,,19.6808,-80.0904,33.5,17.0,3.0,2014.0
896185584,AU,Castle Rock (Agincourt Reef 1),,-16.0663,145.863,7.5,14.0,2.0,2011.0
896185583,AU,St. Crispin Reef,,-16.1026,145.844,6.0,14.0,2.0,2011.0
896185578,TC,Coral Cable,,21.804,-72.2047,8.99,8.0,3.0,2014.0
896185576,VE,Malecon,,10.6222,-66.8452,3.5,23.0,2.0,2013.0
896185575,VE,El Velero,,10.6216,-66.8464,3.0,24.0,2.0,2013.0
896185572,TC,Aquarium West,,21.8083,-72.2257,12.19,8.0,3.0,2014.0
896185554,TH,Koh Bida Nai,,7.657,98.767,9.0,20.0,1.0,2010.0
896185545,TH,Malong,,7.67889,98.765,9.0,19.0,1.0,2010.0
896185544,TH,Palong,,7.6916,98.7561,7.5,20.0,1.0,2010.0
896185528,EG,El Aruk Aruk Giftun,,27.1675,33.9515,6.0,12.0,9.0,2012.0
893352064,EG,Shaab Gramila,,29.4926,34.8949,4.75,26.0,2.0,2014.0
893352043,MV,Hausriff Jetty A,,3.5788,72.9021,6.0,14.0,2.0,2014.0
893352037,VE,Isla Larga Puerto Cabello (Venezuela West),,10.4887,-67.9494,6.0,11.0,1.0,2014.0
893352031,CO,Parque Tairona,,11.29,-74.1534,9.0,6.0,1.0,2014.0
893352030,AU,Navy Pier,,-21.8166,114.191,7.0,5.0,4.0,2013.0
893351956,VE,Isla Larga Puerto Cabello (Venezuela West),,10.4887,-67.9494,6.0,11.0,1.0,2014.0
893351920,EG,Eagles Ray Bay,,27.9502,34.3946,9.0,18.0,2.0,2014.0
893351896,AU,Green Island Reef,,-16.7671,145.994,5.0,14.0,3.0,1993.0
893351875,KE,Kisite Point,,-4.71917,39.3697,9.0,19.0,2.0,2014.0
893351828,ID,Sanur Channel,,-8.73361,115.22,3.95,14.0,6.0,2012.0
893351738,PH,Sabang Wrecks,,13.5248,120.976,9.75,4.0,2.0,2014.0
893351700,ID,"Arus Balee, Aceh",,5.86016,95.2828,9.0,26.0,1.0,2014.0
893351601,PH,Copton Point,,9.98812,123.367,11.0,18.0,11.0,2011.0
891772049,ID,,,-8.245205,119.117542,,24.0,9.0,2008.0
891766795,BQ,,,17.616263,-63.258725,,5.0,7.0,2012.0
891766213,BQ,,,17.631368,-63.26129,,5.0,7.0,2012.0
891755219,BQ,,,17.633421,-63.274132,,2.0,7.0,2012.0
891755054,BQ,,,17.632718,-63.274875,,1.0,7.0,2012.0
891754881,BQ,,,17.631654,-63.272558,,30.0,6.0,2012.0
891740091,MX,,,19.407021,-95.924377,,6.0,9.0,2013.0
891726342,PW,,,7.341944,134.479167,,13.0,3.0,1993.0
891724404,ID,,,1.448324,125.224381,,15.0,7.0,2013.0
891711849,BZ,,,16.819361,-88.080912,,2.0,6.0,2013.0
891711508,BZ,,,16.760824,-88.122025,,3.0,6.0,2013.0
891711092,BZ,,,16.762468,-88.087006,,31.0,5.0,2013.0
891172117,US,,,24.824026,-80.813678,,29.0,6.0,2013.0
891157428,ID,,,1.413847,124.707563,,22.0,4.0,2013.0
891148324,ID,,,1.464447,125.230188,,17.0,4.0,2013.0
891145739,ID,,,1.464447,125.230188,,16.0,4.0,2013.0
891104018,KY,,,19.287057,-81.145706,,24.0,7.0,2012.0
891090837,ID,,,-0.583333,130.6,,3.0,7.0,2012.0
891090160,BQ,,,17.645934,-63.254821,,29.0,6.0,2012.0
891087303,US,,,24.824026,-80.813678,,25.0,6.0,2012.0
891083122,MX,,,20.01104,-87.27739,,25.0,5.0,2012.0
891069788,TH,,,7.743484,98.775656,,31.0,12.0,2008.0
891069417,PH,,,14.803596,120.238838,,8.0,3.0,2007.0
891056755,MX,,,19.158919,-96.047974,,14.0,2.0,2012.0
891042825,PG,,,-9.51529,147.264923,,27.0,7.0,2011.0
891035553,CO,,,11.29122,-74.199432,,8.0,6.0,2011.0
890046203,MV,Kuda Thila,,4.20113,72.811,13.0,26.0,12.0,2011.0
890046140,EG,Naama Bay Werner Lau House Reef,,27.9078,34.3277,10.5,14.0,1.0,2014.0
890046083,MV,Fesdu,,3.21529,73.0368,11.0,27.0,12.0,2011.0
890046071,TH,Koh Haa Lagoon,,7.42953,98.8956,12.65,9.0,1.0,2014.0
890046016,TH,Koh Haa 6,,7.42702,98.8883,10.0,17.0,1.0,2014.0
890046014,KY,Blue Peter Reef,,19.3829,-81.3218,8.38,15.0,1.0,2013.0
890045998,MV,Filitheyo House Reef,,3.21529,73.0368,5.5,21.0,12.0,2011.0
890045956,HN,Don Quickset,,16.103,-86.9782,10.5,1.0,7.0,2010.0
890045950,MX,Angelitas,,20.484,-87.2344,6.095,28.0,12.0,2013.0
890045926,MX,Angelitas,,20.484,-87.2344,6.095,26.0,12.0,2013.0
890045895,HR,,,42.6507,18.0944,8.05,4.0,11.0,1999.0
890045850,HN,Blackfish Point,,16.1217,-86.9239,10.0,30.0,6.0,2010.0
890045715,MX,Cuervitas,,20.4865,-87.2268,6.86,28.0,12.0,2013.0
890045666,MV,Kurumba Reef,,1.82188,73.4905,12.95,9.0,12.0,2013.0
890045655,HN,Ironbound,,16.095,-86.9274,7.5,28.0,6.0,2010.0
890045638,MX,Angelitas,,20.484,-87.2344,6.095,25.0,12.0,2013.0
866343749,PR,San Juan Reef,,18.4638,-66.0837,5.0,22.0,10.0,2010.0
866343734,PR,San Juan Reef,,18.4638,-66.0837,5.0,22.0,10.0,2010.0
866343730,KY,Mc Kennys Canyon,,19.293,-81.091,14.735,12.0,12.0,2013.0
866343664,US,Mercedes I,,26.1562,-80.0752,13.26,29.0,12.0,2013.0
866343656,EG,Halgel Desha,,27.3099,33.9079,12.15,22.0,7.0,2005.0
866343604,EG,El Aruk Aruk Gigi,,27.169,33.9562,5.8,20.0,7.0,2005.0
866343580,ZA,Hotspot,,-27.535,32.691,14.0,17.0,12.0,2013.0
866343374,PH,South Entalula,,11.064,119.372,8.55,11.0,11.0,2013.0
866343355,VE,Punta Norte,,10.9897,-65.2725,5.0,21.0,7.0,2013.0
866343325,ID,Padangbai Blue Lagoon,,-8.52967,115.514,11.45,7.0,12.0,2013.0
866343323,TH,Siam Bay,,7.98431,98.3307,9.65,30.0,11.0,2013.0
866343295,PH,South Miniloc,,11.1505,119.315,6.4,10.0,11.0,2013.0
866343290,EG,El Fanadir North,,27.3047,33.8257,7.6,28.0,11.0,2013.0
866343244,NI,Jakes Place,,12.2779,-82.9832,8.0,25.0,6.0,2010.0
866343154,AU,Clowns Bommie,,-16.7296,146.268,9.0,15.0,6.0,2012.0
866343114,EG,"Sataya East, Sataya Reef",,24.1587,35.711,7.5,31.0,10.0,2008.0
866343045,EG,El Fanadir North,,27.3047,33.8257,5.5,6.0,8.0,2012.0
866343040,PH,El Capitan,,12.8797,121.774,6.0,20.0,9.0,2013.0
866343034,PH,El Capitan Uss Majaba,,14.7679,120.253,9.0,20.0,9.0,2013.0
866342842,MY,Shark Point,,5.88084,102.743,8.1,17.0,10.0,2013.0
866342826,HN,Butchers Bank,,16.3833,-86.4,13.0,12.0,9.0,2013.0
866342807,HN,Turtle Crossing,,16.3095,-86.6087,9.5,16.0,9.0,2013.0
866342790,HN,"Temptation Reef, West Bay",,16.3833,-86.4,10.5,10.0,9.0,2013.0
866342752,EG,Lighthouse,,28.4991,34.5197,9.0,19.0,6.0,2012.0
866342711,HN,Seaquest,,16.3833,-86.4,49.0,12.0,11.0,2013.0
866342611,EG,Ss Thistlegorm,,27.8133,33.9208,12.2,4.0,11.0,2013.0
866342595,HN,Mandy's,,16.3095,-86.6197,50.0,10.0,11.0,2013.0
864253311,AU,"GREAT BARRIER REEF, PATCH REEF 1, NORTH OF LITTLE HOPE ISLAND",1.0,-15.75,145.7,,20.0,1.0,1969.0
863171403,PH,"Negros Island, Dumaquete",3.0,9.31791,123.32472,,,,1949.0
863129850,PH,[no specific locality data],1.0,11.88309,122.85194,,,,
863122550,ID,"Seram Island, Wahaai",1.0,-2.75038,129.37354,,,,
863110245,QA,[no specific locality data],3.0,26.75053,51.68343,,,,
863106568,AU,"Cairns, at Cooktown Station, Great Barrier Reef",1.0,-16.8958,146.26471,,,7.0,1947.0
863104284,TH,off Thailand,2.0,11.84988,100.97803,,,,
863103498,CN,Canton [Kwangtung],1.0,23.1112,113.25137,,,,
863083368,MU,[no specific locality data],1.0,-20.44419,57.77559,,,,
863075932,SA,[no specific locality data],1.0,20.60965,38.42468,,,,
857015669,ID,Hairball Two (Indonesia Lembeh Strait),,1.49678,125.242,13.1,3.0,11.0,2013.0
857015587,EG,Marsa Shona Sogayar,,25.4176,34.6952,5.5,11.0,1.0,2012.0
857015579,EG,Eshta,,27.2579,33.8116,4.85,11.0,6.0,2013.0
857015573,EG,Marsa Shona Sogayar,,25.4176,34.6952,6.0,11.0,1.0,2012.0
857015451,EG,El Fanadir South,,27.2697,33.8356,16.5,19.0,10.0,2013.0
857015441,EG,El Fanous West,,27.2256,33.8977,6.0,18.0,10.0,2013.0
857015425,EG,El Fanous East,,27.2256,33.8977,9.65,18.0,10.0,2013.0
857015403,EG,El Fanadir North,,27.3047,33.8257,21.8,15.0,10.0,2013.0
857015390,HN,Bikini Bottom,,16.3833,-86.4,38.0,29.0,9.0,2013.0
857015355,MV,Moofushi House Reef,,3.88565,72.7274,6.0,29.0,12.0,2002.0
857015295,JO,Rainbow Reef,,29.4551,34.9717,15.0,19.0,10.0,2013.0
857015206,EG,House Reef Pharao,,27.0905,33.8567,6.5,19.0,7.0,2004.0
857015166,EG,Bannerfish Bay,,28.4989,34.5187,5.95,20.0,4.0,2013.0
857015104,US,Blue Fire,,25.548,-80.077,17.985,12.0,10.0,2013.0
857015097,US,Blue Fire,,25.548,-80.077,17.22,12.0,10.0,2013.0
857014805,JO,Cedar Pride Wreck,,29.43,34.973,12.5,17.0,9.0,2013.0
857014513,PH,"Crossing, Puerto Princesa",,9.95412,118.835,11.0,14.0,9.0,2013.0
857014039,EG,Fiddle Garden,,27.9159,34.3578,6.0,27.0,8.0,2011.0
857013981,EG,Ras Ghamila,,27.9735,34.4285,9.05,4.0,4.0,2012.0
857013939,BS,Mike's Reef,,24.9707,-77.5342,10.12,30.0,8.0,2013.0
857013906,MV,Ariyadhoo Kandu,,3.48326,72.8028,9.25,16.0,8.0,2006.0
857013853,US,Crocker Reef,,24.9025,-80.5307,5.64,24.0,8.0,2013.0
857013762,KY,Inside Out,,19.688,-79.8455,15.0,30.0,7.0,2013.0
857013488,KY,,,19.368,-81.1739,15.39,20.0,8.0,2011.0
857013479,KY,Hammerhead Hole,,19.336,-81.3892,8.685,19.0,8.0,2011.0
857013463,KY,,,19.3535,-81.2217,13.87,19.0,8.0,2011.0
857013433,JM,,,18.4895,-77.9303,7.47,24.0,11.0,2009.0
857013424,JM,,,18.4932,-77.9416,7.165,23.0,11.0,2009.0
857013422,KE,Coral Garden,,-3.99784,39.7511,4.5,29.0,8.0,1987.0
857013418,JM,Rocky Shallows,,18.4744,-77.9178,5.64,22.0,11.0,2009.0
857013251,AU,Julian Rocks,,-28.6114,153.629,9.0,9.0,1.0,2013.0
857013216,US,Ron's Rock,,26.7776,-79.9966,9.0,3.0,8.0,2010.0
857013196,JP,Bolo Point,,26.4415,127.713,14.935,4.0,8.0,2013.0
857013122,KY,Notre Dame,,19.3656,-81.4092,14.325,20.0,8.0,2011.0
857013030,VI,Spot 85,,17.7802,-64.795,12.955,27.0,7.0,2013.0
857012898,JP,Kadena North,,26.3597,127.739,5.335,8.0,6.0,2013.0
857012740,MV,Makunudu Giri Ii,,6.40979,72.7053,12.5,20.0,6.0,2000.0
857012735,MV,Eri Faru,,6.40979,72.7053,10.0,19.0,6.0,2000.0
857012636,US,U 352,,34.1368,-76.3391,16.0,8.0,7.0,2013.0
857012595,ID,Tulamben Wreck Us Liberty,,-8.29321,115.589,9.0,7.0,6.0,2013.0
857012569,ID,Uss Liberty Wreck,,-8.27535,115.593,9.0,6.0,6.0,2013.0
857012551,MX,,,18.7143,-87.7065,5.335,6.0,4.0,2012.0
857012548,AU,Troppos,,-16.417,146.059,9.0,24.0,5.0,2013.0
857011747,JM,Tessa's Reef,,18.4796,-77.3328,4.635,12.0,5.0,2012.0
857011718,GP,Petite Ancre,,15.8712,-61.291,12.0,26.0,6.0,2013.0
857011683,IN,Havelock Islands,,11.9676,92.6984,7.15,23.0,1.0,2013.0
857011631,IN,White House Rock,,12.0071,92.9767,12.8,21.0,4.0,2013.0
857011582,GP,Ti Caye,,15.8703,-61.3371,10.0,28.0,6.0,2013.0
857011524,VN,South Point Boulderfield,,8.68574,106.743,10.7,12.0,6.0,2013.0
857011456,PH,Mainit Bubbles,,13.68,120.895,9.145,9.0,6.0,2013.0
857011259,VE,Malecon,,10.5978,-67.0006,1.525,23.0,2.0,2013.0
857011255,VE,Malecon,,10.5978,-67.0006,1.83,23.0,2.0,2013.0
857011248,VN,Over The Top (3 Rocks/ Northpoint),,8.69912,106.74,9.3,6.0,6.0,2013.0
857011211,EG,Mangrove Bay Housereef,,25.8689,34.4197,7.165,23.0,5.0,2013.0
857011208,EG,Abu Kefan South,,26.6531,34.1086,13.41,24.0,5.0,2013.0
857011205,EG,Elphinstone Reef,,25.3111,34.8612,14.785,23.0,5.0,2013.0
857011179,EG,Tobia Arbaa,,26.8251,33.9849,11.58,19.0,5.0,2013.0
857011146,EG,Gota Abu Ramada,,27.1399,33.9535,5.79,19.0,5.0,2013.0
857011009,ID,Halik Reef,,-8.33498,116.032,6.0,24.0,9.0,2012.0
857010963,AU,Fitzroy Island,,-16.9326,145.986,4.6,27.0,4.0,2013.0
857010927,EG,Marsa Shagra North Reef,,25.2457,34.7982,6.55,17.0,4.0,2013.0
857010917,EG,El Minya,,27.2316,33.8579,15.0,4.0,5.0,2013.0
857010858,EG,Sha'ab Talata,,27.1412,33.8835,6.0,2.0,5.0,2013.0
857010850,EG,South Abu Ramada,,27.1586,33.9789,15.0,2.0,5.0,2013.0
857010772,EG,Susana Wreck,,27.2107,33.8482,9.5,11.0,4.0,2006.0
857010724,EG,Tobia Arbaa,,26.8251,33.9849,10.0,4.0,5.0,2012.0
857010710,ID,Pasir Putih,,-7.69433,113.826,2.2,9.0,4.0,2013.0
857010696,MV,Kuredu House Reef,,5.55,73.45,6.0,8.0,12.0,2001.0
857010684,TZ,"Zanzíbar, Mnemba Atoll",,-5.84439,39.3364,8.0,17.0,11.0,2001.0
857010651,FJ,Plantation Pinnacles,,-17.85,177.167,6.45,3.0,11.0,2009.0
857010639,TZ,"Zanzíbar, Mnemba Atoll",,-5.84439,39.3364,12.5,17.0,11.0,2001.0
857010575,AU,Bundegi,,-21.8729,114.13,3.5,4.0,8.0,2006.0
857010521,MY,Sunday 11,,4.22905,113.742,7.15,31.0,3.0,2013.0
857010495,MY,Anemone Garden,,4.2674,113.72,7.0,30.0,3.0,2013.0
857010436,PH,Divers' Heaven,,9.51246,123.683,10.5,4.0,2.0,2013.0
857010410,PH,Alona Beach,,9.59869,123.799,9.0,5.0,2.0,2013.0
857009956,EG,Naama Bay,,27.9034,34.3391,7.95,3.0,3.0,2013.0
857009863,ID,Dock,,-5.75,106.617,8.5,24.0,2.0,2013.0
857009766,MV,Veligandu North,,4.32022,73.0071,7.0,18.0,5.0,2012.0
857009742,US,Key Largo,,25.0708,-80.4246,5.0,25.0,6.0,2012.0
857009643,PH,Alona Beach,,9.59869,123.799,5.4,23.0,10.0,2012.0
857009601,VN,"Rainbow Reef, Vietnam",,12.1829,109.295,4.25,20.0,10.0,2012.0
857009503,TH,"Phuket Racha Yai, Bungalow Bay",,7.59106,98.367,7.0,30.0,3.0,2010.0
857009491,TH,"Phuket Racha Yai, Bungalow Bay",,7.59106,98.367,7.5,26.0,11.0,2011.0
857009385,EG,Coral Garden,,28.5549,34.521,8.4,13.0,9.0,2012.0
857009362,EG,Shabrur Umm Gamar,,27.3608,33.9155,20.0,4.0,1.0,2013.0
857009336,EG,El Fanadir South,,27.2697,33.8356,6.0,1.0,1.0,2005.0
857009332,EG,El Gilwa East,,27.5576,33.8729,6.85,30.0,12.0,2012.0
857009320,TH,Shark Point,,7.74348,98.7757,9.0,13.0,2.0,2010.0
857009297,EG,Dolphin House,,27.4089,33.8542,7.0,30.0,12.0,2012.0
857009284,ID,Jemeluk,,-8.33677,115.662,6.0,27.0,4.0,2009.0
857009205,PH,Sombrero Island,,13.6995,120.826,9.85,2.0,1.0,2013.0
857009006,MM,North Calventuras Island,,16.8879,94.2726,5.44,27.0,12.0,2012.0
857008972,MX,Moc Che Deep,,20.6914,-86.9109,13.0,27.0,12.0,2012.0
857008892,KY,Chinese (Or Japanese West) Gardens,,19.2678,-81.3474,7.6,22.0,11.0,2012.0
857008887,KY,Pallas Reef,,19.3222,-81.2409,8.1,22.0,11.0,2012.0
857008877,KY,Gary's Reef,,19.2645,-81.373,8.55,23.0,11.0,2012.0
857008848,PH,Dolphin Point,,9.95566,123.401,10.0,12.0,12.0,2012.0
857008807,EG,The Kimon M,,27.5813,33.9303,13.0,7.0,11.0,2012.0
857008800,DO,Catuan Ship Wreck,,18.4319,-69.5798,10.0,19.0,12.0,2012.0
857008630,SC,One Tree Island,,-4.73919,55.4653,6.0,15.0,10.0,2012.0
857008620,DO,Canyons Ii,,18.4378,-69.614,9.0,15.0,12.0,2012.0
857008615,SC,Stalk Patch,,-4.69772,55.3973,12.0,15.0,10.0,2012.0
857008592,SC,One Tree Island,,-4.73919,55.4653,6.0,11.0,10.0,2012.0
857008469,EG,Ss Thistlegorm,,27.8133,33.9208,12.25,8.0,11.0,2012.0
857008437,MV,Banana Reef,,4.24139,73.5346,10.5,7.0,12.0,2012.0
857008425,EG,El Fanous West,,27.2256,33.8977,6.0,22.0,9.0,2012.0
857008402,EG,Gordon Reef,,27.9845,34.4532,11.3,4.0,11.0,2012.0
857008391,SC,Stalk Patch,,-4.69772,55.3973,11.5,11.0,10.0,2012.0
857008335,SC,One Tree Island,,-4.73919,55.4653,6.0,6.0,10.0,2012.0
857008284,EG,Shaab Iris,,27.2243,33.9086,6.0,27.0,9.0,2012.0
857008245,AU,Gulliver's (Lighthouse Bay Area),,-21.7701,114.17,6.5,5.0,11.0,2002.0
857008168,MX,Paret Faro,,20.8421,-86.8661,7.0,19.0,11.0,2012.0
857008097,EG,El Famous,,27.4467,33.8113,7.0,24.0,10.0,2007.0
857008093,EG,Turtle Bay,,27.539,33.7773,5.4,24.0,10.0,2007.0
857007899,FR,Pointe De La Croix,,43.05,6.46667,7.0,14.0,7.0,2008.0
857007877,DO,Coral Garden,,18.4421,-69.6029,6.0,4.0,11.0,2012.0
857007787,DO,Catuan Ship Wreck,,18.4319,-69.5798,9.0,5.0,11.0,2012.0
857007740,EG,Lighthouse,,28.4991,34.5197,6.0,29.0,10.0,2012.0
857007725,EG,Elphinstone Reef,,25.3111,34.8612,18.4,11.0,8.0,2004.0
857007693,EG,Abu Dabab Ii,,25.3474,34.7765,7.5,6.0,8.0,2004.0
857007688,EG,Sharm Anbaut,,24.9645,34.9404,9.35,10.0,8.0,2004.0
857007673,EG,Sharm Anbaut,,24.9645,34.9404,14.7,10.0,8.0,2004.0
857007659,EG,Eagles Ray Bay,,27.9502,34.3946,6.6,12.0,10.0,2010.0
857007613,PA,Dolphin Rock,,9.35076,-82.1863,7.06,24.0,10.0,2012.0
857007583,ID,Panjang Reef,,-8.26578,117.492,10.5,4.0,7.0,2000.0
857007524,EG,Eagles Ray Bay,,27.9502,34.3946,10.0,12.0,10.0,2010.0
857007493,EG,"Gota Abu Ramada East ""Coral Garden""",,27.134,33.9749,7.0,10.0,11.0,2011.0
857007481,TC,Gorgonian Drop Off,,21.694,-71.7979,13.85,19.0,2.0,2010.0
857007435,EG,Ss Thistlegorm,,27.8133,33.9208,14.9,14.0,10.0,2010.0
857007408,EG,Torfa Fanous East,,27.2674,33.8879,7.0,9.0,11.0,2011.0
857007378,EG,Lighthouse,,28.4991,34.5197,7.0,31.0,7.0,2011.0
857007348,EG,Bannerfish Bay,,28.4989,34.5187,5.0,30.0,7.0,2011.0
857007297,US,Third Gully,,26.7153,-80.0534,11.3,21.0,2.0,2012.0
857007284,EG,Ras Caty,,27.8473,34.3019,6.0,19.0,5.0,2008.0
857007227,TC,North West Point,,21.7834,-72.2341,12.95,15.0,2.0,2010.0
857007037,CO,Grieta Isla Narza,,8.64026,-77.3375,16.84,2.0,10.0,2012.0
857006980,AU,Ex Hmas Brisbane,,-26.6246,153.15,12.4,27.0,9.0,2012.0
857006968,MU,Coral Garden,,-19.982,57.5872,10.0,22.0,8.0,2012.0
857006925,EG,Fiddle Garden,,27.9159,34.3578,10.0,7.0,12.0,2006.0
857006881,EG,Woodhouse Reef,,28.0018,34.4662,12.5,8.0,12.0,2006.0
857006832,ID,Gili Tepekong The Canyon,,-8.53273,115.584,10.0,19.0,8.0,2012.0
857006782,ID,Blue Lagoon,,-8.53005,115.514,10.0,12.0,8.0,2012.0
857006526,MY,Sipadan Water Village Paradise 2,,4.20363,118.692,5.0,17.0,9.0,2012.0
857006516,MY,Sipadan Water Village Paradise 2,,4.24892,118.632,6.0,18.0,9.0,2012.0
857006448,MY,Lobster Wall,,4.17761,118.708,10.0,18.0,9.0,2012.0
857006359,EG,The Islands,,28.4773,34.5127,12.5,14.0,9.0,2012.0
857006332,EG,The Canyon,,28.5548,34.5208,9.15,5.0,6.0,2012.0
857006322,MU,Stella Maru Wreck,,-19.982,57.5872,10.455,6.0,9.0,2012.0
